
4. Use ps command with options to display all the active processes running on the system

Ans : 

maddy@maddy-IdeaPad-Slim-3-15IAH8:~$ cd Desktop/LINUX_ASSIGNMENTS/Module1
maddy@maddy-IdeaPad-Slim-3-15IAH8:~/Desktop/LINUX_ASSIGNMENTS/Module1$ mkdir Q4
maddy@maddy-IdeaPad-Slim-3-15IAH8:~/Desktop/LINUX_ASSIGNMENTS/Module1$ cd Q4
maddy@maddy-IdeaPad-Slim-3-15IAH8:~/Desktop/LINUX_ASSIGNMENTS/Module1/Q4$ ps -e
    PID TTY          TIME CMD
      1 ?        00:00:02 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 pool_workqueue_release
      4 ?        00:00:00 kworker/R-rcu_g
      5 ?        00:00:00 kworker/R-rcu_p
      6 ?        00:00:00 kworker/R-slub_
      7 ?        00:00:00 kworker/R-netns
      9 ?        00:00:00 kworker/0:0H-events_highpri
     12 ?        00:00:00 kworker/R-mm_pe
     13 ?        00:00:00 rcu_tasks_kthread
     14 ?        00:00:00 rcu_tasks_rude_kthread
     15 ?        00:00:00 rcu_tasks_trace_kthread
     16 ?        00:00:00 ksoftirqd/0
     17 ?        00:00:02 rcu_preempt
     18 ?        00:00:00 migration/0
     19 ?        00:00:00 idle_inject/0
     20 ?        00:00:00 cpuhp/0
     21 ?        00:00:00 cpuhp/2
     22 ?        00:00:00 idle_inject/2
     23 ?        00:00:00 migration/2
     24 ?        00:00:00 ksoftirqd/2
     26 ?        00:00:00 kworker/2:0H-events_highpri
     27 ?        00:00:00 cpuhp/4
     28 ?        00:00:00 idle_inject/4
     29 ?        00:00:00 migration/4
     30 ?        00:00:00 ksoftirqd/4
     32 ?        00:00:00 kworker/4:0H-events_highpri
     33 ?        00:00:00 cpuhp/6
     34 ?        00:00:00 idle_inject/6
     35 ?        00:00:00 migration/6
     36 ?        00:00:00 ksoftirqd/6
     38 ?        00:00:00 kworker/6:0H-events_highpri
     39 ?        00:00:00 cpuhp/8
     40 ?        00:00:00 idle_inject/8
     41 ?        00:00:00 migration/8
     42 ?        00:00:00 ksoftirqd/8
     44 ?        00:00:00 kworker/8:0H-events_highpri
     45 ?        00:00:00 cpuhp/9
     46 ?        00:00:00 idle_inject/9
     47 ?        00:00:00 migration/9
     48 ?        00:00:00 ksoftirqd/9
     50 ?        00:00:00 kworker/9:0H-events_highpri
     51 ?        00:00:00 cpuhp/10
     52 ?        00:00:00 idle_inject/10
     53 ?        00:00:00 migration/10
     54 ?        00:00:00 ksoftirqd/10
     56 ?        00:00:00 kworker/10:0H-events_highpri
     57 ?        00:00:00 cpuhp/11
     58 ?        00:00:00 idle_inject/11
     59 ?        00:00:00 migration/11
     60 ?        00:00:00 ksoftirqd/11
     62 ?        00:00:00 kworker/11:0H-events_highpri
     63 ?        00:00:00 cpuhp/1
     64 ?        00:00:00 idle_inject/1
     65 ?        00:00:00 migration/1
     66 ?        00:00:00 ksoftirqd/1
     68 ?        00:00:00 kworker/1:0H-events_highpri
     69 ?        00:00:00 cpuhp/3
     70 ?        00:00:00 idle_inject/3
     71 ?        00:00:00 migration/3
     72 ?        00:00:00 ksoftirqd/3
     74 ?        00:00:00 kworker/3:0H-events_highpri
     75 ?        00:00:00 cpuhp/5
     76 ?        00:00:00 idle_inject/5
     77 ?        00:00:00 migration/5
     78 ?        00:00:00 ksoftirqd/5
     80 ?        00:00:00 kworker/5:0H-events_highpri
     81 ?        00:00:00 cpuhp/7
     82 ?        00:00:00 idle_inject/7
     83 ?        00:00:00 migration/7
     84 ?        00:00:00 ksoftirqd/7
     85 ?        00:00:00 kworker/7:0-mm_percpu_wq
     86 ?        00:00:00 kworker/7:0H-events_highpri
     87 ?        00:00:00 kdevtmpfs
     88 ?        00:00:00 kworker/R-inet_
     89 ?        00:00:00 kauditd
     91 ?        00:00:00 khungtaskd
     92 ?        00:00:00 oom_reaper
     94 ?        00:00:00 kworker/R-write
     95 ?        00:00:00 kcompactd0
     96 ?        00:00:00 ksmd
     97 ?        00:00:00 khugepaged
     98 ?        00:00:00 kworker/R-kinte
     99 ?        00:00:00 kworker/R-kbloc
    100 ?        00:00:00 kworker/R-blkcg
    102 ?        00:00:00 irq/9-acpi
    103 ?        00:00:00 kworker/9:1-events
    106 ?        00:00:00 kworker/R-tpm_d
    107 ?        00:00:00 kworker/R-ata_s
    108 ?        00:00:00 kworker/R-md
    109 ?        00:00:00 kworker/R-md_bi
    110 ?        00:00:00 kworker/R-edac-
    111 ?        00:00:00 kworker/R-devfr
    112 ?        00:00:00 watchdogd
    113 ?        00:00:00 kworker/9:1H-kblockd
    114 ?        00:00:00 kswapd0
    115 ?        00:00:00 ecryptfs-kthread
    116 ?        00:00:00 kworker/R-kthro
    117 ?        00:00:00 kworker/R-acpi_
    119 ?        00:00:00 kworker/8:2-events
    120 ?        00:00:00 hwrng
